image_id,current,candidate,changed,regime,azimuth
eval_00001.png,1,0,True,intra,233.43
eval_00024.png,1,0,True,novel,291.05
eval_00045.png,1,0,True,novel,316.45
eval_00063.png,1,0,True,novel,348.59
eval_00073.png,1,0,True,novel,359.69
eval_00079.png,1,0,True,intra,154.85
eval_00095.png,1,0,True,novel,339.28
eval_00098.png,1,0,True,novel,353.36
eval_00099.png,1,0,True,novel,352.53
eval_00111.png,0,1,True,intra,97.9
eval_00129.png,1,0,True,novel,300.4
eval_00136.png,1,0,True,novel,338.77
eval_00145.png,1,0,True,novel,313.63
eval_00148.png,1,0,True,novel,286.08
eval_00154.png,1,0,True,intra,231.38
eval_00158.png,1,0,True,novel,328.97
eval_00170.png,1,0,True,novel,304.94
eval_00176.png,1,0,True,novel,288.25
eval_00180.png,1,0,True,novel,270.33
eval_00183.png,1,0,True,novel,353.68
eval_00188.png,1,0,True,novel,344.36
eval_00234.png,1,0,True,novel,327.35
eval_00253.png,1,0,True,novel,356.11
eval_00275.png,1,0,True,novel,279.24
eval_00298.png,1,0,True,novel,333.94
eval_00318.png,1,0,True,intra,253.2
eval_00329.png,1,0,True,novel,333.38
eval_00353.png,1,0,True,novel,299.36
eval_00392.png,1,0,True,novel,359.58
eval_00409.png,1,0,True,novel,302.24
eval_00437.png,1,0,True,novel,340.24
eval_00441.png,1,0,True,intra,144.94
eval_00458.png,1,0,True,novel,335.68
eval_00475.png,1,0,True,novel,294.97
eval_00486.png,1,0,True,novel,282.67
eval_00504.png,1,0,True,novel,344.04
eval_00519.png,1,0,True,novel,337.44
eval_00523.png,1,0,True,novel,295.89
eval_00567.png,1,0,True,novel,345.44
eval_00571.png,0,1,True,intra,192.59
eval_00597.png,1,0,True,novel,348.39
eval_00614.png,1,0,True,novel,332.75
eval_00622.png,1,0,True,novel,302.56
eval_00626.png,0,1,True,intra,189.74
eval_00630.png,1,0,True,novel,322.35
eval_00654.png,1,0,True,novel,295.59
eval_00663.png,1,0,True,novel,358.13
eval_00666.png,1,0,True,novel,337.85
eval_00687.png,1,0,True,novel,270.39
eval_00717.png,1,0,True,novel,313.62
eval_00746.png,0,1,True,intra,91.31
eval_00768.png,1,0,True,novel,285.47
eval_00778.png,0,1,True,intra,199.83
eval_00799.png,1,0,True,novel,302.77
eval_00817.png,1,0,True,novel,358.02
eval_00828.png,1,0,True,novel,327.02
eval_00872.png,1,0,True,novel,327.27
eval_00903.png,1,0,True,novel,280.71
eval_00907.png,1,0,True,novel,320.07
eval_00918.png,1,0,True,novel,279.59
eval_00920.png,1,0,True,novel,307.93
eval_00938.png,1,0,True,novel,307.64
eval_00942.png,1,0,True,novel,320.06
eval_00960.png,1,0,True,novel,280.77
eval_00989.png,1,0,True,novel,270.42
eval_01025.png,1,0,True,novel,323.14
eval_01026.png,1,0,True,novel,326.35
eval_01030.png,1,0,True,novel,337.12
eval_01033.png,1,0,True,novel,353.7
eval_01046.png,1,0,True,novel,276.74
eval_01088.png,1,0,True,novel,276.01
eval_01094.png,1,0,True,novel,275.18
eval_01115.png,1,0,True,novel,335.49
eval_01122.png,0,1,True,intra,122.48
eval_01126.png,1,0,True,novel,316.06
eval_01159.png,0,1,True,intra,101.03
eval_01210.png,1,0,True,novel,320.38
eval_01222.png,1,0,True,novel,351.51
eval_01223.png,1,0,True,novel,342.76
eval_01227.png,1,0,True,novel,274.51
eval_01268.png,1,0,True,novel,299.9
eval_01305.png,1,0,True,novel,303.28
eval_01309.png,1,0,True,intra,58.8
eval_01379.png,1,0,True,novel,271.11
eval_01382.png,0,1,True,intra,123.45
eval_01392.png,1,0,True,novel,320.05
eval_01395.png,1,0,True,intra,269.24
eval_01414.png,1,0,True,novel,342.87
eval_01424.png,1,0,True,intra,164.63
eval_01426.png,1,0,True,novel,331.2
eval_01441.png,1,0,True,novel,352.99
eval_01442.png,1,0,True,intra,59.14
eval_01473.png,1,0,True,novel,355.53
eval_01479.png,1,0,True,novel,322.54
eval_01498.png,1,0,True,novel,283.36
eval_01515.png,1,0,True,novel,334.8
eval_01522.png,1,0,True,novel,281.1
eval_01537.png,1,0,True,novel,283.02
eval_01543.png,1,0,True,novel,281.08
eval_01544.png,1,0,True,novel,318.53
eval_01547.png,1,0,True,novel,355.07
eval_01564.png,1,0,True,novel,294.9
eval_01580.png,1,0,True,novel,298.35
eval_01587.png,1,0,True,novel,352.5
eval_01590.png,1,0,True,novel,333.19
eval_01598.png,1,0,True,novel,349.57
eval_01623.png,1,0,True,novel,287.74
eval_01631.png,1,0,True,intra,158.67
eval_01653.png,1,0,True,intra,164.04
eval_01657.png,1,0,True,novel,329.43
eval_01660.png,1,0,True,novel,280.13
eval_01664.png,0,1,True,intra,125.86
eval_01670.png,1,0,True,novel,313.61
eval_01691.png,0,1,True,intra,198.71
eval_01700.png,1,0,True,novel,307.77
eval_01715.png,1,0,True,novel,350.15
eval_01722.png,0,1,True,intra,180.5
eval_01724.png,1,0,True,novel,300.41
eval_01744.png,1,0,True,novel,305.55
eval_01752.png,1,0,True,novel,346.97
eval_01753.png,1,0,True,novel,278.4
eval_01755.png,1,0,True,intra,257.81
eval_01767.png,1,0,True,novel,327.42
eval_01768.png,0,1,True,intra,98.64
eval_01772.png,1,0,True,novel,272.64
eval_01781.png,1,0,True,novel,319.72
eval_01826.png,1,0,True,novel,296.36
eval_01839.png,1,0,True,novel,317.79
eval_01843.png,1,0,True,intra,251.1
eval_01865.png,0,1,True,intra,107.05
eval_01896.png,1,0,True,novel,288.96
eval_01905.png,1,0,True,novel,294.24
eval_01911.png,1,0,True,novel,331.34
eval_01936.png,1,0,True,novel,276.98
eval_01958.png,1,0,True,novel,292.72
eval_01962.png,1,0,True,novel,325.2
eval_01975.png,1,0,True,novel,356.37
eval_01976.png,1,0,True,novel,330.27
eval_01992.png,1,0,True,novel,295.43
eval_01994.png,1,0,True,novel,298.43
