image_id,regime,sha256,azimuth
eval_00001.png,intra,c20d26b78668215e0c3918901d823b368be0c1d4cc85f743f883b759e59b2469,233.43
eval_00002.png,novel,724da0981aabe2863c34e66bd698d36938778ea72837606afc890589eb5e2c3c,166.54
eval_00003.png,novel,2506b44aee44d6c151ae70ea5dc6b0b5095e91eeeef74e6650a4de0dae061cce,40.95
eval_00004.png,novel,4f0ea5b75010f965e4e2d63f56665af0d481e81e2f210542af850eda51a7e4cb,109.42
eval_00005.png,novel,c1f782cedd87750764a91183c579cd03ce67d4728b71d29fca264f351783b1ae,53.15
eval_00006.png,overlap,fee9ff837dc16e7b56090ebdcc25b733653c04ad3f798ad8ba6e3af616508c52,162.83
eval_00007.png,overlap,cb868bc5f4a3387253744991b256f836cc961ed6c6ae9b043a5b8889dcbfd415,172.03
eval_00008.png,novel,ead352f97278fc7196fc24adc9912c66d55ca750b1c5495209030c32c5633252,133.66
eval_00009.png,novel,ce0e1069b2f486ab844fdf73186596d809b65ae85667107f2d65c5d4ec269af2,153.68
eval_00010.png,novel,6376fb79c3f216f24640e2153d73bdde7f455cc7df4e1bfdea2b6c11e23e7312,164.63
eval_00011.png,overlap,dc41c8a46ff8659466409a684d7a41da1a6a3dc190da9885994b0646ddac34a0,143.46
eval_00012.png,novel,073c09b2607cbddeccc0d45335bd288b8dc77b901f2728a3c831d95a49501eb8,183.24
eval_00013.png,novel,8a08ea202a49df666c7252f4280c45477772f8384cbc11284f8f4738131d671e,242.01
eval_00014.png,novel,78e0d35f512920cd55d500b18fa8f350c2faed99e66832f4d691ef0713e89e74,97.5
eval_00015.png,overlap,8308e08a3ba7934ef2050b9f14ca365be800b2587fb94b67ac2da9d71c842ffb,138.2
eval_00016.png,novel,4bc17b8d41cce60ba3815b8796feb0299deb13d476a29c7898d4ed92643a8383,129.62
eval_00017.png,novel,e732565ba3872eaaeabd2a25fa0e71e47fc083d3c8131945c3f2d7e391ba6df3,178.81
eval_00018.png,novel,c8ed06844e63114a591802a6c8194d253f0b037296e896a52679f90f67e09ad2,105.61
eval_00019.png,overlap,e274e465c795004c4c89b757bf8d0fbc27ee88a3b0f100b11ccb53fc132f8d7a,319.94
eval_00020.png,novel,494d7b54a68f2aaeacdc1b56654d0f0b451d37e4979e92b3376f22cdd442bd86,32.36
eval_00021.png,novel,7f011f36cb2f1b4479e7a32fdc5c2ea5b7f0208491942d6ff87454c526349d78,124.73
eval_00022.png,overlap,b082b90395ab30bb50d6bb2921837e11da69d0665e1a1387b0f259d82e39d92d,6.23
eval_00023.png,novel,215045ecf2817ba8c6d0f0424b9e0351f2432ea6e437d92d499b18d8af1604ab,204.1
eval_00024.png,novel,3c738dd3944ec75b142b3b02ed59553d74249a5140d9133446380c6e5b6e40a4,291.05
eval_00025.png,overlap,905e815ae9c6aa1526755fd65fc1186160e15dc66718e64d6d0c0fad17f742ee,262.48
eval_00026.png,overlap,4e6bff211c02be5745bf7d44d30cad3a54ddd327f573eb3dc005ba14c1cb7001,151.84
eval_00027.png,overlap,a810e6174de93ccab5ff68138fee724cf9a1d941fa67bd47cb010bdfa7a077b8,10.18
