hash,class0_image_id,class0_azimuth,class1_image_id,class1_azimuth,circular_azimuth_difference,raw_mae,A_mae,A_corr,B_mae,B_corr,C_mae,C_corr,D_mae,D_corr,best_flip_or_rotation,best_similarity
0014f69111dd918f3eb66a67322d776e7639a81d7b20f93930ebd1cf8c34734e,train_03333.png,242.72,train_05451.png,127.14,115.58,0.0,32.0362548828125,0.6214489483230874,31.322174072265625,0.633197284662801,32.0362548828125,0.6214489483230874,31.322174072265625,0.633197284662801,hflip,0.7004267558389434
003311ca15a08af421c076e3499b38d60578202ce5fbe37b3336ccae3b532617,train_00589.png,306.41,train_03920.png,200.86,105.55000000000001,0.0,54.62022399902344,0.27380003751331033,54.124298095703125,0.28220719741147327,54.62022399902344,0.273800037513311,54.124298095703125,0.28220719741147327,identity,0.27380003751331033
0081849a31d70be955fd488a059e055f585a35ad40d0ebe70df8e0c0fe4e4249,train_03083.png,316.4,train_04838.png,51.93,95.53000000000003,0.0,66.89949035644531,0.19914312887755298,66.85586547851562,0.19995073679125944,66.89949035644531,0.199143128877553,66.85586547851562,0.19995073679125944,hflip,0.8787336163980874
00b0911af0e2dbfaafb6bfd74c2d0fea1169ea8010d4ed03b82fac6a983472fa,train_03593.png,312.15,train_07629.png,35.9,83.75,0.0,37.68559265136719,0.32856390484385245,37.32252502441406,0.337117867234858,37.68559265136719,0.32856390484385245,37.32252502441406,0.337117867234858,hflip,0.5982126915097572
00b68fe26d7c6cdcbdc88edccb047beddcea9cf9e589560d643bfd77c7b65dd6,train_04404.png,307.19,train_03672.png,98.4,151.21,0.0,60.10650634765625,0.137274199772794,60.387603759765625,0.13323147563773424,60.10650634765625,0.137274199772794,60.387603759765625,0.13323147563773438,rot180,0.5834696685395901
00f1e1b6bb565297c54547a37fc81c181a2d1f59d80cbc2bb60bf413a90c09c9,train_02459.png,320.64,train_06163.png,88.28,127.64000000000001,0.0,85.97108459472656,-0.13551007949288787,85.9140625,-0.13463454190315738,85.97108459472656,-0.1355100794928882,85.9140625,-0.13463454190315724,rot180,0.3912982255821812
00fc4b6605656822a652380101d1779d5d55409a379251949861d3490b93e503,train_01055.png,296.55,train_04665.png,134.07,162.48000000000002,0.0,23.980804443359375,0.693598596433724,24.344146728515625,0.6801663575386808,23.980804443359375,0.6935985964337243,24.344146728515625,0.6801663575386803,rot180,0.7286858289332763
0111d161bb29c00a7d81310e71c957d1d7d6d480237d4024c01d9ce946dadfab,train_06035.png,285.89,train_06019.png,178.64,107.25,0.0,45.18174743652344,-0.026783738164601237,44.21989440917969,0.016390791116349314,45.18174743652344,-0.026783738164601237,44.21989440917969,0.016390791116349293,vflip,0.43698482167644
01adc1e1121265375a7a1b27e5d3b600a58befac812aed201c79db654e5b4895,train_02954.png,349.17,train_01380.png,323.76,25.410000000000025,0.0,24.90966796875,0.6008448747912327,25.692108154296875,0.5735926112854056,24.90966796875,0.6008448747912327,25.692108154296875,0.5735926112854056,identity,0.6008448747912327
01be017c6e47a95062ae4d71d053cfa22df85e498d98d0e59fda1191b1b21fc6,train_05812.png,271.43,train_04640.png,330.13,58.69999999999999,0.0,37.61383056640625,0.24615341593862877,37.85691833496094,0.23246104687731284,37.61383056640625,0.24615341593862822,37.85691833496094,0.23246104687731314,hflip,0.3015182832633477
01cc7020de4d067664ad9deac1c0cee3dc414dee7e52ab067a9d6ca1b5304d5b,train_01564.png,182.09,train_00645.png,258.73,76.64000000000001,0.0,41.236480712890625,0.045656586801621754,41.53627014160156,0.030231545848476708,41.236480712890625,0.045656586801621754,41.53627014160156,0.030231545848476732,hflip,0.3205720720481138
01f0ea9b2f4d14e7baab2cbc9872714f658088947bd0560622a6318153b28f3a,train_04222.png,292.31,train_05364.png,350.5,58.19,0.0,38.38580322265625,0.3125297137911848,38.14263916015625,0.3220922660512966,38.38580322265625,0.3125297137911848,38.14263916015625,0.3220922660512966,hflip,0.5311216591916372
