hash,train_image_id,train_azimuth,train_label,test_image_id,test_azimuth,circular_azimuth_difference,raw_identical,official_rotated_mae,official_rotated_corr,best_flip_or_rotation,best_similarity
0054f28f159574b1b415a5760deebc9c79a1502a44a0785928c3b8c35ccfaef1,train_01668.png,9.64,1,eval_00495.png,101.38,91.74,True,55.20750427246094,0.20454020285151306,vflip,0.7219770229744293
00597d3428669eef5d7c90518ecbdf27fa85fe92520cd01652dc7493aef20651,train_00420.png,45.74,1,eval_01394.png,147.57,101.82999999999998,True,57.219696044921875,0.15311348039900494,vflip,0.7486405933152459
008eeb0c333248a7b09b77a25f25a1b25f2d4fe07785dd35daf62e59b4652ac2,train_00560.png,330.51,0,eval_01751.png,139.38,168.87,True,29.975509643554688,0.5568430754194698,rot180,0.7535093207940056
00ff82d717120c9ba4c6c3c35e6ae985583a238fc7af865e70ac6893c1032a22,train_02059.png,134.01,1,eval_01505.png,104.31,29.69999999999999,True,26.9769287109375,0.5557692154015702,vflip,0.59781121884097
0100fb2cd31885430472383fbaa1eaa90c2765ee1e3f2c569354070d71d6d969,train_01577.png,77.56,1,eval_01484.png,124.42,46.86,True,45.52876281738281,0.36661048338079516,vflip,0.5359802116576076
010161b09ab6422e81bc5374af49f0bb44d40570b8a96924e51e836b2d30d234,train_07301.png,5.78,1,eval_01876.png,165.44,159.66,True,68.8411865234375,-0.07947590773357675,rot180,0.35977704262937443
010f1fa166ae8ce13b0d4a1645dee4131f7edfd3b44be996319dab05bab16cf5,train_05461.png,332.89,0,eval_01803.png,158.45,174.44,True,48.4537353515625,0.1382288262509737,rot180,0.8887480172407419
016a26e3f4cc1906f919e335f389cb700bc1a2e486603f280756a8eccf3a2044,train_07293.png,93.57,1,eval_00344.png,119.52,25.950000000000003,True,38.81672668457031,0.5594788538378067,vflip,0.62083489048416
01b346b4e3e6ff4513e8fb1ebf5df149af0ab31d6c4a8e23d66ca498c94bc1bf,train_01270.png,296.05,1,eval_00175.png,168.85,127.20000000000002,True,36.893829345703125,0.30531515046112134,hflip,0.5311413432430804
0266f997a7420729b6bebeb42a6b9a0d3f489ed84b999044d26babcc0c7042a0,train_02294.png,22.48,1,eval_00361.png,113.64,91.16,True,48.01054382324219,0.17748221877112838,hflip,0.19890087195696768
028de32d00e261bd013d6d1abe95a0b0a6da8446106cdf4bddb944d1020a686c,train_04620.png,118.0,1,eval_01242.png,100.85,17.150000000000006,True,22.01953125,0.6818251096272814,identity,0.6818251096272814
03173b83f874948c016dd770a3f48359a2338a96492d6a230c8eed35aa0d60da,train_03026.png,356.98,1,eval_00240.png,108.84,111.85999999999999,True,36.70751953125,0.2377147942769446,hflip,0.5116420906115193
034e36e554558405f586ff8bf2c34f5a74e9c972688c6aeaa61e5bcb9dcecf50,train_01597.png,336.74,1,eval_01552.png,165.91,170.83,True,105.43569946289062,-0.4870793855703694,rot180,0.862733141895442
04119410be53b7cd98380a187d81c012d6b305137b893a77e7d09f67bff5116a,train_06086.png,272.29,0,eval_01593.png,71.73,159.44,True,69.31678771972656,-0.2632138623729447,rot180,0.6181002487180525
043cc803d6a13cd64e376c3a45326c9ca0771be8425394ec15cba23a7ba2e171,train_02856.png,132.42,1,eval_01437.png,117.07,15.349999999999994,True,22.274612426757812,0.5730601711124235,identity,0.5730601711124235
051431cf2a81623f2ca4287b2f1571d74fd9b881eb3a772bef911604ffd9e4f4,train_00680.png,118.77,1,eval_00787.png,126.1,7.329999999999998,True,19.491409301757812,0.728253605049588,identity,0.728253605049588
054e4fae0b6f23339e64cb11b90dc1a15038b8a5133adbe49231b3c986763e78,train_04790.png,265.82,1,eval_00101.png,132.05,133.76999999999998,True,79.44767761230469,-0.048305501936242744,hflip,0.6498768561334282
07562757f4b08a7522e59550425802c0e24ac08b60120173543c264b87e818a6,train_02825.png,343.49,0,eval_01662.png,252.01,91.48000000000002,True,37.1033935546875,0.38431123538098466,vflip,0.43249786641606075
