image_id,hash,label,azimuth,fold
train_00001.png,fddcfff9568c0f3443658153f3b53ac57336aaa2c9717fc35862110c0c370642,1,77.69,2
train_00002.png,692aceacc4d1534baa3a5badd3054e7366d2005f18b078e57c8d57e15532719b,1,75.97,2
train_00003.png,3e4248a2f774619ddd081e234a1cd2e890f9b209d634106ee5fe8d9cb526c4c2,1,172.66,0
train_00004.png,27c66b3122934f68c70d5b3a25436feaa5ca66e1371c72f7dea022f151d41e30,1,150.14,3
train_00005.png,77ac19bae183ba6f0cf4337af7e6dee6152372dff1e6071d0cc98f842872a021,0,109.42,3
train_00006.png,8691fddf2ebf032a271209446f9bf1975c789f81ef37b1aa1f20c63e67bf3e39,0,303.84,2
train_00007.png,bcb2666eb7f8d47cba1575bed73383c465bd1a1bb3d7d6be4893bf8abc9ad4bb,1,267.33,4
train_00008.png,9dffd0868034ec7a1de80bd747cf41441bd3c7343d371cb6968dc2abaaea6f8f,1,356.73,3
train_00009.png,81467dccf61cbb6409febe99a9aeba37963f8c46d2707d0a52d9807482acd0fa,0,177.07,3
train_00010.png,b6fc7bb38b0eed34a0da3dbd358153a40c88e48955a1e3ceabfbbbbf2da46321,0,326.32,2
train_00011.png,76ea507bd4812990d24667df8922281e57409bcdb9e217a697735b01b1f195f5,1,278.78,1
train_00012.png,381e0cf99567a6e6e3a51060f250bfe026e124299d6de218d234134e9de77fb7,0,286.2,2
train_00013.png,1ac017eef09fc7721c7e9e4c0f18c38a7e709418953e29fd1371088e8feef279,1,248.34,4
train_00014.png,81a725f6b6eca71d144b75c3ac34c55f97ad721ba1ed3d6e6f30ff92cbf2fa5f,1,153.4,4
train_00015.png,447cdcc9bc663768f96e710ddf395e2810ddeac1546a5aa06d888783d82192ff,0,277.36,1
train_00016.png,f86ff699c31a3d736d6cdf6b5d9690e5d69e6c1b965f8bb0d2f8ec53cf505a29,0,283.31,3
train_00017.png,c33e7d454cff1738227c6578f2450f35a1d7c94a215ad73c389f301c822c8996,0,289.09,4
train_00018.png,3520b0e659df9284a5df958753239092d032ff50ef8a536a8590585378e095f4,0,354.6,4
train_00019.png,64762108c3341e9dc7cf3e5f20fc7f8fc97004277dacb645e76a0e435a867404,0,265.65,4
train_00020.png,759c5e3488ed063c8a5f31e84370049f57763ff2c433092fd3a734c54b11a626,0,106.18,3
train_00021.png,feb43b6320287ec2241dd31a3a37e40d326e024a7b91fff1ccf152a9c3439268,1,132.16,2
train_00022.png,8e8bc06471827f9b4d89801efb956ed0e94a93b71be775e47aa2e3d373093192,0,276.76,1
train_00023.png,e3bc931a8b344249a4ef044a7e5e706b371a7a3c6293c92538f529199ab5234c,0,288.13,4
train_00024.png,a17d48b77299a9fe18ffd280c1b66e1efb74a554adae7a51e751cbb71dd82aca,1,320.0,0
train_00025.png,aa150407530eb030e259be24743350d291b3a42d5d7db0120bfcbc0ff59dbc47,1,140.59,1
train_00026.png,2e42e6bdde6a9363dbd54f205bb34f8c6d5540de0f8d146b43d864e1cf04dbd3,0,289.84,2
train_00027.png,6fdf3202ad353453c4779900b3cc68c70c04741b12affc4e8775ddaef866e1d2,1,70.81,3
train_00028.png,a314616fa7549c067bea7676a0eae35ae635072768966e72d39ae4ab3dbcb084,0,331.15,0
train_00029.png,926b7f4682fca88787b50066d9565fc08f58d27183a80bfab465a06cfb041ec9,0,278.81,1
train_00030.png,349afb546f4ca3dc98d1e8da67c8ec6c856bf6d74d4a9ba953afa8a1024eeb7c,1,277.01,4
train_00031.png,7d6c6ba27cab735432121ff0654ee80e114ebd3556f032b2287b3ff553523329,1,177.89,2
train_00032.png,ad4092f2c2b01439c913fb13006f25d66e381e506b5382fc9b84102ec809f574,1,184.36,3
train_00033.png,fc158c29ed67df1f2ea06d60afbfb687eb55056ae04e3dbd18d874ecfa2d0db9,0,295.85,3
train_00034.png,3483e504a6a74a3dfcb8e7958f6b75d2033384353e1fac31759cddfc07c55bbe,1,6.6,0
train_00035.png,60f5604b0fdbe2656f24bfbfa9bafbbfc0dad862d12e6cc47b2b9521c5d69072,1,33.94,2
train_00036.png,53bfbf4ce9016417b851159089153237c521fdf90ecb55c0e15b7d66db514cf8,0,312.04,1
train_00037.png,7352be2750b867ac033cd60f855650fac04a1312581c2002436c2689d921f91e,0,253.09,1
train_00038.png,dfa37ba2fae32d6fda20b6711590652f38bea958a4451466b9c2b7c1d4e11ec0,0,344.03,2
train_00039.png,1eb6e4c0ca6b65a98c81b6136ed18f283bf28ffacb77f3ddcd82ed38d2f5ecd6,0,161.59,4
train_00040.png,73ea9e956de5cfff84616a70de9f5babb27ad8ec697295ed1ba2ae4b9de292c7,0,256.77,3
train_00041.png,569d02edd82cbc8fb2ebb3e8abfd2c1b18b815750425dfde564aec141438fad7,0,285.28,3
train_00042.png,fb776c3b3140f08c431e95d002eb51ed9ea0807ce1efc9c0332bc50ec9efdeaf,1,30.84,1
train_00043.png,6e34a319cbb89cdb5222f6ebc5a1aedff649924964f53167ca17194281605a6b,1,296.16,1
train_00044.png,9adc777a973500d6cf944621305561ae643b61ea98db251c3df5f94a22fbdbd5,1,19.58,4
